symbol,ex_date,amount
AVGO,2025-12-22,0.65
AVGO,2026-03-23,0.65
AVGO,2026-06-22,0.65
BA,2006-11-08,0.3
BA,2007-02-07,0.35
BA,2007-05-09,0.35
BA,2007-08-08,0.35
BA,2007-11-07,0.35
BA,2008-02-06,0.4
BA,2008-05-07,0.4
BA,2008-08-06,0.4
BA,2008-11-05,0.4
BA,2009-02-04,0.42
BA,2009-05-06,0.42
BA,2009-08-05,0.42
BA,2009-11-04,0.42
BA,2010-02-03,0.42
BA,2010-05-05,0.42
BA,2010-08-04,0.42
BA,2010-11-03,0.42
BA,2011-02-09,0.42
BA,2011-05-11,0.42
BA,2011-08-10,0.42
BA,2011-11-08,0.42
BA,2012-02-08,0.44
BA,2012-05-09,0.44
BA,2012-08-15,0.44
BA,2012-11-07,0.44
BA,2013-02-13,0.485
BA,2013-05-08,0.485
BA,2013-08-07,0.485
BA,2013-11-06,0.485
BA,2014-02-12,0.73
BA,2014-05-07,0.73
BA,2014-08-06,0.73
BA,2014-11-05,0.73
BA,2015-02-11,0.91
BA,2015-05-06,0.91
BA,2015-08-05,0.91
BA,2015-11-04,0.91
BA,2016-02-10,1.09
BA,2016-05-11,1.09
BA,2016-08-10,1.09
BA,2016-11-08,1.09
BA,2017-02-08,1.42
BA,2017-05-10,1.42
BA,2017-08-09,1.42
BA,2017-11-09,1.42
BA,2018-02-08,1.71
BA,2018-05-10,1.71
BA,2018-08-09,1.71
BA,2018-11-08,1.71
BA,2019-02-07,2.055
BA,2019-05-09,2.055
BA,2019-08-08,2.055
BA,2019-11-07,2.055
BA,2020-02-13,2.055
BAC,2006-11-29,0.56
BAC,2007-02-28,0.56
BAC,2007-05-30,0.56
BAC,2007-09-05,0.64
BAC,2007-12-05,0.64
BAC,2008-03-05,0.64
BAC,2008-06-04,0.64
BAC,2008-09-03,0.64
BAC,2008-12-03,0.32
BAC,2009-03-04,0.01
BAC,2009-06-03,0.01
BAC,2009-09-02,0.01
BAC,2009-12-02,0.01
BAC,2010-03-03,0.01
BAC,2010-06-02,0.01
BAC,2010-09-01,0.01
BAC,2010-12-01,0.01
BAC,2011-03-02,0.01
BAC,2011-06-01,0.01
BAC,2011-08-31,0.01
BAC,2011-11-30,0.01
BAC,2012-02-29,0.01
BAC,2012-05-30,0.01
BAC,2012-09-05,0.01
BAC,2012-12-05,0.01
BAC,2013-02-27,0.01
BAC,2013-06-05,0.01
BAC,2013-09-04,0.01
BAC,2013-12-04,0.01
BAC,2014-03-05,0.01
BAC,2014-06-20,0.01
BAC,2014-09-03,0.05
BAC,2014-12-03,0.05
BAC,2015-03-04,0.05
BAC,2015-06-03,0.05
BAC,2015-09-02,0.05
BAC,2015-12-02,0.05
BAC,2016-03-02,0.05
BAC,2016-06-01,0.05
BAC,2016-08-31,0.075
BAC,2016-11-30,0.075
BAC,2017-03-01,0.075
BAC,2017-05-31,0.075
BAC,2017-08-30,0.12
BAC,2017-11-30,0.12
BAC,2018-03-01,0.12
BAC,2018-05-31,0.12
BAC,2018-09-06,0.15
BAC,2018-12-06,0.15
BAC,2019-02-28,0.15
BAC,2019-06-06,0.15
BAC,2019-09-05,0.18
BAC,2019-12-05,0.18
BAC,2020-03-05,0.18
BAC,2020-06-04,0.18
BAC,2020-09-03,0.18
BAC,2020-12-03,0.18
BAC,2021-03-04,0.18
BAC,2021-06-03,0.18
BAC,2021-09-02,0.21
BAC,2021-12-02,0.21
BAC,2022-03-03,0.21
BAC,2022-06-02,0.21
BAC,2022-09-01,0.22
BAC,2022-12-01,0.22
BAC,2023-03-02,0.22
BAC,2023-06-01,0.22
BAC,2023-08-31,0.24
BAC,2023-11-30,0.24
BAC,2024-02-29,0.24
BAC,2024-06-07,0.24
BAC,2024-09-06,0.26
BAC,2024-12-06,0.26
BAC,2025-03-07,0.26
BAC,2025-06-06,0.26
BAC,2025-09-05,0.28
BAC,2025-12-05,0.28
BAC,2026-03-06,0.28
BAC,2026-06-05,0.28
BAC,2026-09-04,0.32
CAT,2006-10-19,0.3
CAT,2007-01-18,0.3
CAT,2007-04-19,0.3
CAT,2007-07-18,0.36
CAT,2007-10-18,0.36
CAT,2008-01-17,0.36
CAT,2008-04-17,0.36
CAT,2008-07-17,0.42
CAT,2008-10-16,0.42
CAT,2009-01-15,0.42
CAT,2009-04-16,0.42
CAT,2009-07-16,0.42
CAT,2009-10-22,0.42
CAT,2010-01-15,0.42
CAT,2010-04-22,0.42
CAT,2010-07-16,0.44
CAT,2010-10-21,0.44
CAT,2011-01-18,0.44
CAT,2011-04-20,0.44
CAT,2011-07-18,0.46
CAT,2011-10-20,0.46
CAT,2012-01-18,0.46
CAT,2012-04-19,0.46
CAT,2012-07-18,0.52
CAT,2012-10-18,0.52
CAT,2012-12-20,0.52
CAT,2013-04-18,0.52
CAT,2013-07-18,0.6
CAT,2013-10-17,0.6
CAT,2014-01-16,0.6
CAT,2014-04-16,0.6
CAT,2014-07-17,0.7
CAT,2014-10-16,0.7
CAT,2015-01-15,0.7
CAT,2015-04-16,0.7
CAT,2015-07-16,0.77
CAT,2015-10-22,0.77
CAT,2016-01-15,0.77
CAT,2016-04-21,0.77
CAT,2016-07-18,0.77
CAT,2016-10-20,0.77
CAT,2017-01-18,0.77
CAT,2017-04-20,0.77
CAT,2017-07-18,0.78
CAT,2017-10-20,0.78
CAT,2018-01-19,0.78
CAT,2018-04-20,0.78
CAT,2018-07-19,0.86
CAT,2018-10-19,0.86
CAT,2019-01-18,0.86
CAT,2019-04-18,0.86
CAT,2019-07-19,1.03
CAT,2019-10-18,1.03
CAT,2020-01-17,1.03
CAT,2020-04-17,1.03
CAT,2020-07-17,1.03
CAT,2020-10-23,1.03
CAT,2021-01-19,1.03
CAT,2021-04-23,1.03
CAT,2021-07-19,1.11
CAT,2021-10-22,1.11
CAT,2022-01-19,1.11
CAT,2022-04-22,1.11
CAT,2022-07-19,1.2
CAT,2022-10-21,1.2
CAT,2023-01-19,1.2
CAT,2023-04-21,1.2
CAT,2023-07-19,1.3
CAT,2023-10-20,1.3
CAT,2024-01-19,1.3
CAT,2024-04-19,1.3
CAT,2024-07-22,1.41
CAT,2024-10-21,1.41
CAT,2025-01-21,1.41
CAT,2025-04-21,1.41
CAT,2025-07-21,1.51
CAT,2025-10-20,1.51
CAT,2026-01-20,1.51
CAT,2026-04-20,1.51
CAT,2026-07-20,1.63
COST,2006-11-15,0.13
COST,2007-02-12,0.13
COST,2007-04-25,0.145
COST,2007-07-25,0.145
COST,2007-11-28,0.145
COST,2008-02-13,0.145
COST,2008-05-14,0.16
COST,2008-08-06,0.16
COST,2008-11-12,0.16
COST,2009-02-11,0.16
COST,2009-05-13,0.18
COST,2009-08-12,0.18
COST,2009-10-21,0.18
COST,2010-02-10,0.18
COST,2010-05-05,0.205
COST,2010-08-04,0.205
COST,2010-10-27,0.205
COST,2011-02-09,0.205
COST,2011-05-11,0.24
COST,2011-08-03,0.24
COST,2011-11-08,0.24
COST,2012-02-08,0.24
COST,2012-05-23,0.275
COST,2012-08-08,0.275
COST,2012-11-14,0.275
COST,2012-12-06,7.0
COST,2013-02-06,0.275
COST,2013-05-15,0.31
COST,2013-08-07,0.31
COST,2013-11-13,0.31
COST,2014-02-12,0.31
COST,2014-05-14,0.355
COST,2014-07-09,0.355
COST,2014-11-12,0.355
COST,2015-02-05,5.0
COST,2015-02-11,0.355
COST,2015-04-29,0.4
COST,2015-08-12,0.4
COST,2015-11-10,0.4
COST,2016-02-10,0.4
COST,2016-04-27,0.45
COST,2016-08-10,0.45
COST,2016-11-02,0.45
COST,2017-02-08,0.45
COST,2017-05-08,7.0
COST,2017-05-10,0.5
COST,2017-08-16,0.5
COST,2017-11-16,0.5
COST,2018-02-15,0.5
COST,2018-05-10,0.57
COST,2018-08-30,0.57
COST,2018-11-08,0.57
COST,2019-02-07,0.57
COST,2019-05-09,0.65
COST,2019-08-29,0.65
COST,2019-10-31,0.65
COST,2020-02-06,0.65
COST,2020-04-30,0.7
COST,2020-07-30,0.7
COST,2020-10-29,0.7
COST,2020-12-01,10.0
COST,2021-02-04,0.7
COST,2021-04-29,0.79
COST,2021-07-29,0.79
COST,2021-10-28,0.79
COST,2022-02-03,0.79
COST,2022-04-28,0.9
COST,2022-07-28,0.9
COST,2022-10-27,0.9
COST,2023-02-02,0.9
COST,2023-05-04,1.02
COST,2023-08-24,1.02
COST,2023-11-02,1.02
COST,2023-12-27,15.0
COST,2024-02-01,1.02
COST,2024-04-25,1.16
COST,2024-07-26,1.16
COST,2024-11-01,1.16
COST,2025-02-07,1.16
COST,2025-05-02,1.3
COST,2025-08-01,1.3
COST,2025-10-31,1.3
COST,2026-01-30,1.3
COST,2026-05-01,1.47
COST,2026-07-24,1.47
CRM,2024-03-13,0.4
CRM,2024-07-09,0.4
CRM,2024-09-18,0.4
CRM,2024-12-18,0.4
CRM,2025-04-10,0.416
CRM,2025-06-18,0.416
CRM,2025-09-17,0.416
CRM,2025-12-18,0.416
CRM,2026-04-09,0.44
CRM,2026-06-11,0.44
CRM,2026-09-17,0.44
CSCO,2011-03-29,0.06
CSCO,2011-07-05,0.06
CSCO,2011-10-04,0.06
CSCO,2012-01-03,0.06
CSCO,2012-04-03,0.08
CSCO,2012-07-02,0.08
CSCO,2012-10-02,0.14
CSCO,2012-11-27,0.14
CSCO,2013-04-04,0.17
CSCO,2013-07-01,0.17
CSCO,2013-10-01,0.17
CSCO,2014-01-02,0.17
CSCO,2014-04-01,0.19
CSCO,2014-07-02,0.19
CSCO,2014-09-30,0.19
CSCO,2015-01-02,0.19
CSCO,2015-03-31,0.21
CSCO,2015-07-01,0.21
CSCO,2015-10-01,0.21
CSCO,2016-01-04,0.21
CSCO,2016-04-04,0.26
CSCO,2016-07-05,0.26
CSCO,2016-10-03,0.26
CSCO,2017-01-04,0.26
CSCO,2017-04-04,0.29
CSCO,2017-07-05,0.29
CSCO,2017-10-04,0.29
CSCO,2018-01-04,0.29
CSCO,2018-04-04,0.33
CSCO,2018-07-05,0.33
CSCO,2018-10-04,0.33
CSCO,2019-01-03,0.33
CSCO,2019-04-04,0.35
CSCO,2019-07-03,0.35
CSCO,2019-10-03,0.35
CSCO,2020-01-02,0.35
CSCO,2020-04-02,0.36
CSCO,2020-07-02,0.36
CSCO,2020-10-01,0.36
CSCO,2021-01-04,0.36
CSCO,2021-04-05,0.37
CSCO,2021-07-02,0.37
CSCO,2021-10-04,0.37
CSCO,2022-01-04,0.37
CSCO,2022-04-05,0.38
CSCO,2022-07-05,0.38
CSCO,2022-10-04,0.38
CSCO,2023-01-04,0.38
CSCO,2023-04-04,0.39
CSCO,2023-07-05,0.39
CSCO,2023-10-03,0.39
CSCO,2024-01-03,0.39
CSCO,2024-04-03,0.4
CSCO,2024-07-05,0.4
CSCO,2024-10-02,0.4
CSCO,2025-01-03,0.4
CSCO,2025-04-03,0.41
CSCO,2025-07-03,0.41
CSCO,2025-10-03,0.41
CSCO,2026-01-02,0.41
CSCO,2026-04-02,0.42
CSCO,2026-07-06,0.42
CVX,2006-11-15,0.52
CVX,2007-02-14,0.52
CVX,2007-05-16,0.58
CVX,2007-08-15,0.58
CVX,2007-11-14,0.58
CVX,2008-02-13,0.58
CVX,2008-05-15,0.65
CVX,2008-08-15,0.65
CVX,2008-11-14,0.65
CVX,2009-02-12,0.65
CVX,2009-05-15,0.65
CVX,2009-08-17,0.68
CVX,2009-11-16,0.68
CVX,2010-02-12,0.68
CVX,2010-05-17,0.72
CVX,2010-08-17,0.72
CVX,2010-11-16,0.72
CVX,2011-02-14,0.72
CVX,2011-05-17,0.78
CVX,2011-08-17,0.78
CVX,2011-11-16,0.81
CVX,2012-02-15,0.81
CVX,2012-05-16,0.9
CVX,2012-08-15,0.9
CVX,2012-11-14,0.9
CVX,2013-02-13,0.9
CVX,2013-05-15,1.0
CVX,2013-08-15,1.0
CVX,2013-11-14,1.0
CVX,2014-02-12,1.0
CVX,2014-05-15,1.07
CVX,2014-08-15,1.07
CVX,2014-11-14,1.07
CVX,2015-02-12,1.07
CVX,2015-05-15,1.07
CVX,2015-08-17,1.07
CVX,2015-11-16,1.07
CVX,2016-02-16,1.07
CVX,2016-05-17,1.07
CVX,2016-08-17,1.07
CVX,2016-11-16,1.08
CVX,2017-02-14,1.08
CVX,2017-05-17,1.08
CVX,2017-08-16,1.08
CVX,2017-11-16,1.08
CVX,2018-02-15,1.12
CVX,2018-05-17,1.12
CVX,2018-08-16,1.12
CVX,2018-11-15,1.12
CVX,2019-02-14,1.19
CVX,2019-05-16,1.19
CVX,2019-08-16,1.19
CVX,2019-11-15,1.19
CVX,2020-02-14,1.29
CVX,2020-05-18,1.29
CVX,2020-08-18,1.29
CVX,2020-11-17,1.29
CVX,2021-02-16,1.29
CVX,2021-05-18,1.34
CVX,2021-08-18,1.34
CVX,2021-11-17,1.34
CVX,2022-02-15,1.42
CVX,2022-05-18,1.42
CVX,2022-08-18,1.42
CVX,2022-11-17,1.42
CVX,2023-02-15,1.51
CVX,2023-05-18,1.51
CVX,2023-08-17,1.51
CVX,2023-11-16,1.51
CVX,2024-02-15,1.63
CVX,2024-05-16,1.63
CVX,2024-08-19,1.63
CVX,2024-11-18,1.63
CVX,2025-02-14,1.71
CVX,2025-05-19,1.71
CVX,2025-08-19,1.71
CVX,2025-11-18,1.71
CVX,2026-02-17,1.78
CVX,2026-05-19,1.78
CVX,2026-08-19,1.78
DIA,2006-10-20,0.147
DIA,2006-11-17,0.319
DIA,2006-12-15,0.33
DIA,2007-01-19,0.08
DIA,2007-02-16,0.23
DIA,2007-03-16,0.277
DIA,2007-04-20,0.106
DIA,2007-05-18,0.354
DIA,2007-06-15,0.169
DIA,2007-07-20,0.164
DIA,2007-08-17,0.285
DIA,2007-09-21,0.237
DIA,2007-10-19,0.153
DIA,2007-11-16,0.378
DIA,2007-12-21,0.321
DIA,2008-01-18,0.14
DIA,2008-02-15,0.235
DIA,2008-03-20,0.296
DIA,2008-04-18,0.156
DIA,2008-05-16,0.328
DIA,2008-06-20,0.269
DIA,2008-07-18,0.165
DIA,2008-08-15,0.247
DIA,2008-09-19,0.334
DIA,2008-10-17,0.156
DIA,2008-11-21,0.343
DIA,2008-12-19,0.266
DIA,2009-01-16,0.141
DIA,2009-02-20,0.365
DIA,2009-03-20,0.177
DIA,2009-04-17,0.134
DIA,2009-05-15,0.246
DIA,2009-06-19,0.283
DIA,2009-07-17,0.126
DIA,2009-08-21,0.329
DIA,2009-09-18,0.175
DIA,2009-10-16,0.094
DIA,2009-11-20,0.338
DIA,2009-12-18,0.4
DIA,2010-02-19,0.265
DIA,2010-03-19,0.207
DIA,2010-04-16,0.091
DIA,2010-05-21,0.381
DIA,2010-06-18,0.19
DIA,2010-07-16,0.093
DIA,2010-08-20,0.384
DIA,2010-09-17,0.191
DIA,2010-10-15,0.093
DIA,2010-11-19,0.361
DIA,2010-12-17,0.263
DIA,2010-12-29,0.248
DIA,2011-01-21,0.144
DIA,2011-02-18,0.3
DIA,2011-03-18,0.226
DIA,2011-04-15,0.112
DIA,2011-05-20,0.415
DIA,2011-06-17,0.208
DIA,2011-07-15,0.112
DIA,2011-08-19,0.419
DIA,2011-09-16,0.21
DIA,2011-10-21,0.185
DIA,2011-11-18,0.285
DIA,2011-12-16,0.356
DIA,2012-01-20,0.167
DIA,2012-02-17,0.332
DIA,2012-03-16,0.255
DIA,2012-04-20,0.149
DIA,2012-05-18,0.426
DIA,2012-06-15,0.22
DIA,2012-07-20,0.21
DIA,2012-08-17,0.349
DIA,2012-09-21,0.281
DIA,2012-10-19,0.187
DIA,2012-11-16,0.323
DIA,2012-12-21,0.413
DIA,2013-01-18,0.145
DIA,2013-02-15,0.357
DIA,2013-03-15,0.302
DIA,2013-04-19,0.141
DIA,2013-05-17,0.429
DIA,2013-06-21,0.304
DIA,2013-07-19,0.206
DIA,2013-08-16,0.383
DIA,2013-09-20,0.304
DIA,2013-10-18,0.17
DIA,2013-11-15,0.298
DIA,2013-12-20,0.395
DIA,2014-01-17,0.133
DIA,2014-02-21,0.435
DIA,2014-03-21,0.282
DIA,2014-04-17,0.132
DIA,2014-05-16,0.421
DIA,2014-06-20,0.326
DIA,2014-07-18,0.182
DIA,2014-08-15,0.296
DIA,2014-09-19,0.413
DIA,2014-11-21,0.448
DIA,2014-12-19,0.383
DIA,2015-01-16,0.148
DIA,2015-02-20,0.49
DIA,2015-03-20,0.311
DIA,2015-04-17,0.118
DIA,2015-05-15,0.403
DIA,2015-06-19,0.48
DIA,2015-07-17,0.172
DIA,2015-08-21,0.55
DIA,2015-09-18,0.328
DIA,2015-10-16,0.08
DIA,2015-11-20,0.573
DIA,2015-12-18,0.408
DIA,2016-01-15,0.086
DIA,2016-02-19,0.613
DIA,2016-03-18,0.375
DIA,2016-04-15,0.13
DIA,2016-05-20,0.612
DIA,2016-06-17,0.355
DIA,2016-07-15,0.135
DIA,2016-08-19,0.656
DIA,2016-09-16,0.354
DIA,2016-10-21,0.18
DIA,2016-11-18,0.533
DIA,2016-12-16,0.432
DIA,2017-01-20,0.193
DIA,2017-02-17,0.561
DIA,2017-03-17,0.408
DIA,2017-04-21,0.182
DIA,2017-05-19,0.608
DIA,2017-06-16,0.394
DIA,2017-07-21,0.236
DIA,2017-08-18,0.529
DIA,2017-09-15,0.458
DIA,2017-10-20,0.183
DIA,2017-11-17,0.562
DIA,2017-12-15,0.561
DIA,2018-01-19,0.144
DIA,2018-02-16,0.645
DIA,2018-03-16,0.454
DIA,2018-04-20,0.132
DIA,2018-05-18,0.697
DIA,2018-06-15,0.376
DIA,2018-07-20,0.318
DIA,2018-08-17,0.538
DIA,2018-09-21,0.546
DIA,2018-10-19,0.155
DIA,2018-11-16,0.601
DIA,2018-12-21,0.616
DIA,2019-01-18,0.174
DIA,2019-02-15,0.698
DIA,2019-03-15,0.545
DIA,2019-04-18,0.158
DIA,2019-05-17,0.644
DIA,2019-06-21,0.637
DIA,2019-07-19,0.223
DIA,2019-08-16,0.674
DIA,2019-09-20,0.647
DIA,2019-10-18,0.173
DIA,2019-11-15,0.514
DIA,2019-12-20,0.866
DIA,2020-01-17,0.138
DIA,2020-02-21,0.804
DIA,2020-03-20,0.602
DIA,2020-04-17,0.13
DIA,2020-05-15,0.462
DIA,2020-06-19,0.753
DIA,2020-07-17,0.211
DIA,2020-08-21,0.604
DIA,2020-09-18,0.667
DIA,2020-10-16,0.117
DIA,2020-11-20,0.652
DIA,2020-12-18,0.588
DIA,2021-01-15,0.128
DIA,2021-02-19,0.601
DIA,2021-03-19,0.671
DIA,2021-04-16,0.112
DIA,2021-05-21,0.703
DIA,2021-06-18,0.493
DIA,2021-07-16,0.207
DIA,2021-08-20,0.611
DIA,2021-09-17,0.736
DIA,2021-10-15,0.117
DIA,2021-11-19,0.701
DIA,2021-12-17,0.662
DIA,2022-01-21,0.258
DIA,2022-02-18,0.519
DIA,2022-03-18,0.772
DIA,2022-04-14,0.126
DIA,2022-05-20,0.745
DIA,2022-06-17,0.692
DIA,2022-07-15,0.128
DIA,2022-08-19,0.656
DIA,2022-09-16,0.823
DIA,2022-10-21,0.182
DIA,2022-11-18,0.681
DIA,2022-12-16,0.75
DIA,2023-01-20,0.28
DIA,2023-02-17,0.552
DIA,2023-03-17,0.858
DIA,2023-04-21,0.184
DIA,2023-05-19,0.726
DIA,2023-06-16,0.776
DIA,2023-07-21,0.268
DIA,2023-08-18,0.51
DIA,2023-09-15,0.923
DIA,2023-10-20,0.187
DIA,2023-11-17,0.707
DIA,2023-12-15,0.833
DIA,2024-01-19,0.213
DIA,2024-02-16,0.612
DIA,2024-03-15,0.933
DIA,2024-04-19,0.198
DIA,2024-05-17,0.594
DIA,2024-06-21,0.874
DIA,2024-07-19,0.194
DIA,2024-08-16,0.327
DIA,2024-09-20,1.248
DIA,2024-10-18,0.149
DIA,2024-11-15,0.266
DIA,2024-12-20,1.223
DIA,2025-01-17,0.162
DIA,2025-02-21,0.659
DIA,2025-03-21,0.801
DIA,2025-04-17,0.197
DIA,2025-05-16,0.322
DIA,2025-06-20,1.199
DIA,2025-07-18,0.181
DIA,2025-08-15,0.266
DIA,2025-09-19,1.318
DIA,2025-10-17,0.155
DIA,2025-11-21,0.576
DIA,2025-12-19,1.044
DIA,2026-01-16,0.179
DIA,2026-02-20,0.613
DIA,2026-03-20,0.994
DIA,2026-04-17,0.206
DIA,2026-05-15,0.276
DIA,2026-06-18,1.405
DIA,2026-07-17,0.149
DIA,2026-08-21,0.437
DIS,2006-12-13,0.305815
DIS,2007-12-05,0.35
DIS,2008-12-11,0.35
DIS,2009-12-10,0.35
DIS,2010-12-09,0.4
DIS,2011-12-14,0.6
DIS,2012-12-06,0.75
DIS,2013-12-12,0.86
DIS,2014-12-11,1.15
DIS,2015-07-01,0.66
DIS,2015-12-10,0.71
DIS,2016-07-07,0.71
DIS,2016-12-08,0.78
DIS,2017-07-06,0.78
DIS,2017-12-08,0.84
DIS,2018-07-06,0.84
DIS,2018-12-07,0.88
DIS,2019-07-05,0.88
DIS,2019-12-13,0.88
DIS,2023-12-08,0.3
DIS,2024-07-08,0.45
DIS,2024-12-16,0.5
DIS,2025-06-24,0.5
DIS,2025-12-15,0.75
DIS,2026-06-30,0.75
EEM,2006-12-20,0.524333
EEM,2007-12-24,0.649
EEM,2008-06-25,0.517333
EEM,2008-12-23,0.34
EEM,2009-06-23,0.247
EEM,2009-12-22,0.323
EEM,2009-12-29,0.012
EEM,2010-06-23,0.262
EEM,2010-12-21,0.359
EEM,2010-12-29,0.025
EEM,2011-06-22,0.461
EEM,2011-12-20,0.347
EEM,2012-06-21,0.468
EEM,2012-12-18,0.262
EEM,2012-12-27,0.014
EEM,2013-06-27,0.493
EEM,2013-12-18,0.366
EEM,2014-06-25,0.341
EEM,2014-12-17,0.535
EEM,2015-06-25,0.301
EEM,2015-12-21,0.501
EEM,2016-06-22,0.266
EEM,2016-12-21,0.396
EEM,2017-06-20,0.192
EEM,2017-12-19,0.697
EEM,2018-06-19,0.29
EEM,2018-12-18,0.584
EEM,2019-06-17,0.311
EEM,2019-12-16,0.929
EEM,2020-06-15,0.23
EEM,2020-12-14,0.519
EEM,2021-06-10,0.241
EEM,2021-12-13,0.707
